1P,PWOP2P0C,PWOP3P0C,PWOP3P1C,PWOP4P0C,PWOP4P1C,PWOP4P2C,PWOP5P0C,PWOP5P1C,PWOP5P2C,PWOP5P3C,PWOP6P0C,PWOP6P1C,PWOP6P2C,PWOP6P3C,2PWOP4P0C,2PWOP5P0C,2PWOP5P1C,2PWOP6P0C,2PWOP6P1C,2PWOP6P2C,SMWC2P0C,SMWC2P1C,SMWC3P0C,SMWC3P1C,SMWC3P2C,SMWC4P0C,SMWC4P1C,SMWC4P2C,SMWC4P3C,SFWC2P0C,SFWC2P1C,SFWC3P0C,SFWC3P1C,SFWC3P2C,SPWCWP3P0C,SPWCWP3P1C,SPWCWP4P0C,SPWCWP4P1C,SPWCWP4P2C,SPWCWPWOP3P0C,SPWCWPWOP3P1C,SPWCWPWOP4P0C,SPWCWPWOP4P1C,SPWCWPWOP4P2C,SPWCWPWOP5P0C,SPWCWPWOP5P1C,SPWCWPWOP5P2C,O2P0C,O2P1C,O3P0C,O3P1C,O3P2C,O4P0C,O4P1C,O4P2C,O4P3C,O5P0C,O5P1C,O5P2C,O5P3C,O6P0C,O6P1C,O6P2C,O6P3C
10702,4300,8419,1540,2016,1253,712,372,475,355,98,88,81,123,96,277,139,243,65,117,103,2941,773,591,137,189,13,17,13,20,542,257,125,28,53,546,784,50,60,117,580,216,210,256,47,47,53,55,3391,647,949,309,103,163,240,74,14,26,77,64,13,61,23,32,40
8912,4549,2359,2351,1114,1018,1292,201,326,308,149,40,69,115,92,150,102,201,56,76,115,1618,533,217,76,126,8,5,9,18,334,164,41,13,45,305,450,31,25,86,241,138,115,159,36,29,23,25,1521,70,297,30,4,128,94,11,1,35,29,36,3,17,6,17,27
9525,6484,6101,1720,1772,1541,862,255,526,433,123,50,125,188,143,251,128,225,65,96,138,3329,832,468,131,209,24,10,15,22,746,277,125,30,51,601,825,59,57,150,858,337,290,336,88,68,101,84,4002,226,1096,232,28,301,251,46,3,84,110,82,8,37,40,56,40
19995,4299,3393,1753,1446,1230,886,219,397,311,174,43,78,126,102,197,91,184,45,74,117,2589,920,336,147,248,14,23,11,28,615,282,94,20,62,369,698,49,37,139,444,273,184,197,50,43,34,37,2773,146,739,77,23,319,143,23,0,77,57,34,11,66,16,18,18
7094,3533,3625,2568,1532,1596,979,250,464,502,153,61,111,127,111,173,139,203,69,120,108,2487,975,347,133,270,12,22,17,26,508,259,69,28,75,500,872,70,64,151,428,288,188,294,77,40,52,48,2093,143,499,114,23,142,186,40,2,41,60,70,8,12,19,25,20
12148,6715,9465,2498,2287,1545,1211,416,539,431,159,71,117,184,146,189,167,248,93,112,113,4054,1012,1250,147,234,27,16,19,27,788,302,199,36,73,504,728,73,42,134,589,302,208,274,83,52,47,74,3305,142,553,113,12,175,192,36,2,42,52,58,3,19,13,20,23
12016,2985,2204,1581,1008,985,891,192,358,320,141,78,109,160,156,122,73,152,143,87,107,2101,746,241,107,178,16,14,22,20,452,239,49,19,56,313,593,38,29,125,325,211,164,217,61,51,37,62,2595,300,692,269,58,293,240,87,14,77,90,63,16,40,36,40,60
8028,3496,3046,1579,1717,1117,931,419,415,430,134,155,119,162,157,204,166,246,137,134,159,1982,368,313,92,125,25,5,12,13,478,91,90,19,25,379,395,53,39,98,411,127,214,178,43,48,41,31,2063,77,514,49,11,256,93,11,11,83,49,33,6,90,11,14,39
9658,3061,2217,941,1030,628,426,255,249,183,74,66,64,83,65,190,160,128,81,66,74,1142,472,117,62,83,16,3,6,15,283,132,27,7,23,221,268,29,22,49,238,74,131,121,35,52,27,28,1931,163,557,59,31,288,54,33,16,30,25,15,3,676,5,4,9
6410,3485,3591,2044,1659,934,1462,230,345,253,121,42,72,110,84,258,152,191,49,95,111,1686,467,293,76,107,27,5,4,16,312,94,69,8,31,216,335,29,19,64,296,92,93,108,24,21,17,17,1780,139,389,92,35,96,85,23,5,35,25,31,2,36,7,6,18
14126,6236,4977,2970,2222,2152,1573,325,681,569,221,63,149,209,194,250,111,323,84,143,163,3412,1291,483,190,369,20,17,32,39,707,407,93,28,98,587,1020,59,72,224,644,373,265,385,108,74,76,83,4170,439,952,281,98,250,292,98,14,60,106,81,82,70,24,43,83
12663,5303,3352,3393,1409,1630,1431,230,549,520,259,59,123,231,207,258,118,266,74,141,154,2785,1530,309,207,473,16,13,26,83,522,679,70,42,172,423,990,41,58,223,457,334,181,306,116,61,55,61,2991,677,723,402,164,197,307,148,37,64,129,124,43,982,28,25,62
21922,5024,2876,3879,1264,1597,1172,209,500,382,184,38,92,163,149,145,82,234,55,107,127,2289,2158,268,140,240,15,18,15,28,398,280,48,11,66,371,762,45,43,117,372,355,180,256,63,46,53,66,2396,126,623,123,18,221,182,33,4,63,64,57,9,209,28,32,32
7795,2584,3070,1181,1249,691,671,88,217,232,112,20,27,74,48,112,40,90,20,37,34,1227,629,305,97,217,15,6,8,30,239,141,82,19,40,197,319,29,21,80,225,101,77,101,28,23,16,21,1412,163,336,73,22,133,96,32,8,27,27,30,3,123,8,16,12
19413,6005,4367,2855,2004,1670,1799,274,542,474,295,35,93,182,218,207,94,293,64,161,180,2651,1050,376,139,296,23,15,24,37,494,233,75,29,69,372,723,43,30,151,351,211,172,192,66,35,37,50,2566,234,661,212,60,181,223,86,23,43,65,77,12,9,20,42,39
14188,4822,4036,2195,1671,1416,1245,389,656,501,294,65,106,169,169,156,264,360,91,157,166,2557,1095,348,152,238,21,14,9,42,598,322,77,30,92,319,599,38,34,116,350,198,140,165,55,49,49,49,2202,209,595,200,42,254,236,69,7,111,104,58,10,220,31,32,25
28487,2823,2270,1299,1061,859,663,221,340,228,111,54,87,113,82,92,48,137,37,85,71,1605,575,219,79,149,11,7,7,14,325,200,50,11,26,237,412,23,17,63,415,199,171,213,42,51,47,22,2108,133,730,111,20,395,156,32,4,60,64,26,7,18,18,27,21
8985,4738,3507,2450,1821,1863,1189,330,563,592,203,75,238,219,203,307,191,466,178,274,276,2361,811,265,120,204,9,12,16,26,441,239,58,24,61,435,684,66,51,172,346,266,200,269,77,38,52,56,2284,164,496,157,26,178,163,47,5,67,64,67,13,216,22,27,34
9280,3371,2549,1576,1006,897,771,208,273,221,139,70,77,85,112,107,79,149,59,55,92,1895,688,212,108,178,14,14,10,33,426,270,62,26,74,257,378,33,31,95,291,195,156,192,59,32,39,39,2185,151,438,70,18,193,98,19,5,33,25,23,10,50,17,16,21
