id,dist,x,y
1,79,37.612196,55.708789
2,106,37.600259,55.776371
3,3,37.835497,55.769585
4,102,37.58253,55.766916
5,7,37.81607,55.809671
6,67,37.548766,55.694366
7,69,37.540116,55.644213
8,83,37.659687,55.681569
9,53,37.580377,55.743819
10,11,37.358605,55.787377
11,106,37.59985,55.78702
12,53,37.561501,55.727043
13,21,37.489847,55.818302
14,83,37.648508,55.663417
15,59,37.77343,55.678769
16,85,37.607679,55.647152
17,26,37.528759,55.818211
18,66,37.561754,55.686191
19,57,37.790045,55.705342
20,49,37.399116,55.800523
21,3,37.829885,55.779971
22,104,37.683511,55.792805
23,4,37.786785,55.800418
24,60,37.770286,55.654031
25,34,37.590388,55.900385
26,93,37.707785,55.774879
27,101,37.718242,55.801231
28,65,37.673124,55.716827
29,55,37.820862,55.709115
30,76,37.666523,55.59116
31,7,37.803339,55.807945
32,12,37.403584,55.72272
33,96,37.800799,55.812664
34,46,37.71691,55.879474
35,1,37.834399,55.736298
36,6,37.774077,55.756505
37,75,37.520477,55.60724
38,95,37.730165,55.814936
39,45,37.641245,55.876835
40,10,37.421749,55.749107
41,59,37.770896,55.671543
42,48,37.429251,55.863791
43,71,37.533002,55.672576
44,101,37.731036,55.797071
45,76,37.668379,55.599023
46,106,37.616027,55.767294
47,15,37.496129,55.689705
48,89,37.613193,55.637912
49,45,37.632893,55.868561
50,71,37.520446,55.680748
51,60,37.74042,55.644614
52,81,37.733578,55.623011
53,65,37.680283,55.7064
54,87,37.742926,55.603998
55,44,37.649712,55.884861
56,45,37.625767,55.872913
57,68,37.581669,55.649393
58,95,37.721843,55.817218
59,44,37.658617,55.885476
60,90,37.604281,55.617455
61,86,37.710771,55.613317
62,105,37.675772,55.731358
63,98,37.673782,55.777722
64,66,37.585715,55.693333
65,54,37.612332,55.723476
66,75,37.536491,55.595074
67,29,37.561593,55.814013
68,32,37.573965,55.877812
69,62,37.720892,55.693878
70,7,37.822508,55.805825
71,89,37.612654,55.639205
72,51,37.481656,55.793573
73,41,37.603282,55.868624
74,6,37.785705,55.759731
75,36,37.568962,55.896852
76,82,37.664092,55.646571
77,100,37.620605,55.780918
78,89,37.596892,55.631274
79,20,37.563561,55.86602
80,68,37.57484,55.65149
81,76,37.684644,55.583884
82,6,37.773171,55.745347
83,3,37.830488,55.764094
84,62,37.728577,55.685969
85,3,37.822218,55.777399
86,5,37.804087,55.751458
87,4,37.795085,55.798839
88,64,37.746875,55.7125
89,37,37.708416,55.881488
90,48,37.442394,55.858816
91,72,37.510802,55.659543
92,20,37.566256,55.858631
93,94,37.565218,55.782938
94,73,37.513113,55.631199
95,11,37.426913,55.731436
96,90,37.603162,55.604931
97,22,37.552159,55.880279
98,105,37.666404,55.741265
99,36,37.580903,55.902445
100,15,37.513202,55.703085
101,96,37.810462,55.825441
102,6,37.780164,55.742993
103,34,37.601246,55.889465
104,29,37.569729,55.825525
105,83,37.638916,55.681257
106,24,37.527143,55.893904
107,1,37.826811,55.71945
108,89,37.610123,55.629081
109,95,37.724261,55.808852
110,13,37.48408,55.710115
111,60,37.765018,55.666866
112,50,37.484386,55.771638
113,73,37.489418,55.630225
114,102,37.538333,55.763426
115,80,37.610312,55.692387
116,70,37.596269,55.686704
117,74,37.55503,55.678418
118,44,37.664094,55.886396
119,64,37.741527,55.695932
120,43,37.644079,55.848987
121,93,37.68953,55.775374
122,64,37.732741,55.715221
123,63,37.769731,55.724973
124,94,37.556617,55.775638
125,76,37.657512,55.597494
126,59,37.74272,55.673552
