id,dist,x,y
1,15,37.53295,55.730826
2,16,37.465808,55.662225
3,15,37.504038,55.703325
4,15,37.49003,55.696974
5,9,37.549365,55.746667
6,12,37.419794,55.71726
7,10,37.412784,55.756143
8,12,37.414445,55.722811
9,18,37.477619,55.741705
10,17,37.498555,55.747623
11,18,37.467339,55.732831
12,15,37.523246,55.727744
13,9,37.528572,55.736769
14,18,37.460409,55.720097
15,11,37.410482,55.74235
16,18,37.46264,55.736338
17,18,37.466391,55.723956
18,18,37.48004,55.73503
19,18,37.464702,55.732352
20,14,37.573119,55.896899
21,11,37.404436,55.738482
22,12,37.440425,55.715802
23,12,37.394167,55.718247
24,17,37.495463,55.740448
25,9,37.567907,55.747581
26,16,37.467263,55.658694
27,9,37.546786,55.742973
28,17,37.502149,55.739001
29,10,37.41192,55.76233
30,12,37.408286,55.723063
31,11,37.361714,55.78705
32,11,37.427398,55.736784
33,17,37.504309,55.752147
34,11,37.410639,55.730784
35,12,37.397847,55.719405
36,11,37.423309,55.732653
37,16,37.490393,55.663481
38,11,37.427231,55.729155
39,12,37.404934,55.717353
40,12,37.399562,55.711761
41,16,37.457237,55.670955
42,16,37.491445,55.664361
43,11,37.439682,55.732132
44,12,37.443985,55.724762
45,17,37.484306,55.764558
46,15,37.511696,55.720742
47,15,37.497313,55.689105
48,10,37.419263,55.750454
49,10,37.417737,55.751119
50,12,37.415939,55.71633
51,12,37.411455,55.721024
52,16,37.456299,55.66762
53,9,37.544956,55.745097
54,26,37.527094,55.828808
55,35,37.582656,55.823515
56,33,37.668363,55.859364
57,52,37.440994,55.838937
58,51,37.450981,55.799216
59,49,37.40452,55.813788
60,49,37.398611,55.797123
61,50,37.482706,55.806686
62,52,37.409622,55.848833
63,69,37.528348,55.64909
64,86,37.707711,55.617216
65,86,37.719905,55.624709
66,86,37.72423,55.616436
67,84,37.671854,55.679301
68,84,37.687362,55.680845
69,76,37.655609,55.600323
70,86,37.701391,55.610091
71,82,37.663499,55.646114
72,85,37.614046,55.651014
73,81,37.734118,55.623844
74,87,37.719717,55.596199
75,85,37.608277,55.650244
76,79,37.640041,55.709307
77,91,37.601815,55.603248
78,89,37.59436,55.634487
79,80,37.603633,55.693296
80,87,37.730138,55.605612
81,87,37.718683,55.598962
82,91,37.594783,55.587714
83,80,37.595422,55.713777
84,90,37.581146,55.610638
85,91,37.619653,55.605693
86,88,37.653435,55.626046
87,89,37.606589,55.628015
88,89,37.608135,55.636528
89,91,37.617481,55.599541
90,78,37.755753,55.63721
91,88,37.662795,55.621488
92,81,37.736021,55.617348
93,86,37.69785,55.613871
94,90,37.58872,55.609672
95,87,37.72942,55.606979
96,81,37.745071,55.624572
97,91,37.611254,55.600497
98,76,37.666152,55.596236
99,88,37.665554,55.633506
100,76,37.665333,55.584753
101,86,37.713058,55.611876
102,91,37.605075,55.591448
103,91,37.585595,55.59932
104,77,37.652447,55.582735
105,76,37.689055,55.581425
106,76,37.673138,55.584389
107,76,37.667148,55.575099
108,81,37.736668,55.615191
109,76,37.688669,55.583199
110,87,37.748202,55.606592
111,87,37.74559,55.60295
112,81,37.751677,55.617921
113,81,37.749935,55.620376
114,81,37.746441,55.628604
115,78,37.754267,55.636802
116,78,37.756988,55.632676
117,84,37.681241,55.684217
118,90,37.595045,55.613906
119,89,37.608969,55.638214
120,84,37.688763,55.689763
121,78,37.743405,55.635384
122,77,37.63987,55.590263
123,88,37.65178,55.632277
124,102,37.572231,55.757307
125,28,37.503836,55.806065
126,19,37.609802,55.763268
127,74,37.574929,55.672969
128,28,37.517902,55.800496
129,26,37.528127,55.836757
130,25,37.491729,55.883227
131,34,37.609507,55.884347
132,106,37.591079,55.775206
133,45,37.642982,55.869531
134,44,37.649381,55.877801
135,34,37.590074,55.892902
136,35,37.582027,55.824346
137,31,37.640569,55.804917
138,40,37.525744,55.936879
139,41,37.587875,55.854232
140,84,37.676815,55.683884
141,82,37.722073,55.636
142,83,37.654406,55.679151
143,89,37.608913,55.633174
144,84,37.704909,55.682853
145,81,37.749935,55.620376
146,89,37.614476,55.635964
147,86,37.72559,55.619832
148,85,37.610045,55.658058
149,59,37.753146,55.679668
150,61,37.748212,55.73394
151,58,37.701425,55.745891
152,59,37.749924,55.675772
153,61,37.716453,55.73386
154,59,37.74315,55.677501
155,65,37.676337,55.701529
156,71,37.517268,55.678111
157,75,37.536314,55.616541
158,68,37.593585,55.657964
159,2,37.775078,55.8065
160,96,37.791239,55.815252
161,1,37.819533,55.721148
162,1,37.813975,55.729587
163,104,37.689529,55.806868
164,11,37.411851,55.753261
165,10,37.41192,55.76233
166,13,37.4818,55.713181
167,15,37.485407,55.684693
168,18,37.45551,55.730884
169,12,37.411092,55.661348
170,18,37.456477,55.713303
171,18,37.791241,55.815344
172,13,37.452795,55.677832
173,11,37.411198,55.747268
174,10,37.419263,55.750454
175,11,37.410665,55.729621
176,14,37.491168,55.674117
177,74,37.695203,55.778061
178,85,37.60825,55.652084
179,82,37.717826,55.636211
180,103,37.563605,55.79738
181,98,37.659411,55.782601
182,102,37.566368,55.760953
183,54,37.61122,55.735384
184,53,37.576798,55.716804
185,98,37.635587,55.76877
186,105,37.656554,55.743033
187,105,37.687713,55.742377
188,67,37.575047,55.711808
189,103,37.581054,55.508652
190,3,37.830349,55.760506
191,88,37.666165,55.622284
192,97,37.626287,55.742235
193,107,37.528589,55.784166
194,79,37.517877,55.812419
195,58,37.711138,55.762643
