1995;1996;1997;1998;1999;2000;2001;2002
5617;6611;7140;7174;6478;8109;9483;8801
5904;6491;5824;6387;6876;8823;10022;9124
6993;6953;7079;8118;8661;10065;10546;9937
7643;7629;8050;8756;9544;11257;11292;11535
7776;8226;9240;10548;11055;13080;13349;12564
8793;9886;11397;13800;12805;15374;14450;13390
11549;13720;18533;18804;18119;22967;18440;18276
20307;21972;26068;23623;22525;29421;26194;24573
22627;26662;32267;23420;25803;31541;22488;27829
22822;26787;33453;24072;25843;26676;26194;27751
20966;20993;28118;23935;21887;26765;26720;25652
20925;19558;24812;25471;23628;26572;27390;26022
18845;20512;23529;24495;24449;26325;28450;34550
19671;18860;23681;24709;24950;27037;27989;26365
14542;14070;17352;21781;21485;17385;26284;19052
23508;19432;22452;22112;22491;26683;19046;24832
27862;20658;23295;28601;26448;26987;24108;26297
48491;23525;26248;29971;30240;30588;25057;29308
107911;23686;27249;32963;31065;31328;27166;28747
111296;24450;24143;31141;23190;20845;27217;25561
99439;27848;32538;29033;26688;33165;24527;30570
57667;32522;28169;26878;21439;35199;30629;29642
17219;33539;39231;13998;16549;20715;30225;13560
12350;31778;64854;18080;16710;42412;39953;27628
16720;27981;97169;21654;53611;59238;36786;30414
18709;23290;94397;21291;42005;75882;33095;31101
19500;26230;78487;24358;63366;79833;34140;36044
21060;24704;58312;26887;91260;64982;33741;35953
23583;27409;48103;38332;102496;48958;33839;40833
28785;27052;41291;52896;82267;37473;32565;43074
32730;25233;38296;69469;62119;32747;33367;41301
39106;16960;27342;52010;41118;21576;24209;32601
33999;21060;25429;46373;32351;27240;30243;42034
47576;19921;26495;41802;33215;23867;28361;36111
54498;19165;24947;31191;29254;24981;29288;34001
52053;21401;24639;26532;25499;23841;29287;32187
47159;18601;21748;21933;22281;23742;27329;29746
35358;20044;21707;23119;22408;22011;27695;28950
25166;17913;20929;20591;46752;18823;26097;29186
16627;10363;12719;14140;15614;14808;10898;10284
11981;10649;12475;11880;11499;13561;14745;10708
10611;11272;12875;12409;16260;18951;17792;18007
13722;11272;12371;12939;17308;17455;17327;16067
11873;11049;13659;12914;14742;15494;20272;15950
10330;10625;12035;11103;13641;12181;18187;13143
8808;8366;8816;8263;10081;10445;10901;10588
6821;9394;10066;8814;8307;11987;14187;11618
7437;8099;8731;8504;8395;10383;12845;11519
7188;6321;7401;8232;7384;8405;15322;8895
6475;6490;6548;7564;6478;8569;8532;8254
5864;6145;6858;7596;6478;8421;8200;8360
5873;6621;6597;7010;6478;8474;8989;8503
