dist,x,y,kinder,school,shop,restaurant
74,37.57037354,55.6590271,1324,261,2788,1475
66,37.56448364,55.677845,228,290,6253,11970
70,37.59435272,55.67157364,371,306,1099,9516
70,37.59331894,55.66856003,497,296,6750,1473
70,37.59670258,55.68612671,116,297,6363,1034
68,37.57806396,55.6467247,226,299,4384,10228
68,37.60539246,55.66351318,710,258,1106,6927
68,37.60992813,55.66321182,710,258,5235,6270
80,37.61795807,55.70376205,317,79,3228,11310
91,37.58123779,55.60238647,834,869,2030,4131
70,37.60630035,55.67734528,753,304,7421,1463
68,37.60437775,55.6486969,1616,776,5382,4641
70,37.60028076,55.67950439,753,298,9554,8460
66,37.58420944,55.68553162,779,293,8286,8104
66,37.58218002,55.69338226,1496,276,2216,6040
70,37.59567261,55.67031097,497,296,2791,9516
70,37.59938049,55.67752838,1096,304,10670,439
68,37.56957626,55.65192413,316,303,6295,1470
80,37.60935211,55.69318771,115,79,2647,5849
80,37.61978912,55.69817734,115,79,6148,1381
70,37.59392929,55.68491745,1555,297,2585,3445
80,37.60017014,55.69364548,874,79,3909,4076
80,37.61331558,55.69606781,115,79,5079,5541
70,37.59766769,55.68860245,116,297,10891,4590
66,37.59525681,55.68891907,196,293,7405,789
77,37.64638901,55.58939743,1,122,10004,10096
91,37.61089706,55.59485626,289,774,10049,9106
66,37.58325577,55.69447327,64,276,2216,9461
66,37.57269287,55.68382645,1295,257,7993,1471
66,37.57894516,55.67660904,741,290,812,9506
85,37.61889267,55.64949036,160,72,7403,4092
89,37.6010437,55.63938141,1030,119,2043,11345
91,37.61207581,55.58956909,289,771,5324,12718
90,37.59469223,55.61658096,1034,968,9999,775
90,37.60681152,55.62133789,221,966,490,9286
68,37.60029984,55.64675522,772,301,2409,4598
68,37.5988884,55.6581459,390,295,10944,1179
68,37.59234619,55.65137863,1187,782,7669,1808
68,37.5778389,55.6574173,1159,300,660,1477
85,37.61629868,55.66664124,1113,916,2513,3941
85,37.60892105,55.65140915,555,178,2504,4020
91,37.60688019,55.60135651,255,97,2776,8949
68,37.58750534,55.65705872,397,158,2211,3383
74,37.5715332,55.65894318,267,261,2788,1475
70,37.60162735,55.6805954,753,298,1092,1463
66,37.59121704,55.68721771,1368,293,291,1481
66,37.58429718,55.69262695,64,276,3585,6040
85,37.61061859,55.65136337,555,178,2504,7182
70,37.6045723,55.67538834,753,304,1095,1478
68,37.59923935,55.64650726,772,302,4383,4598
77,37.64836884,55.58673096,1,962,9970,8744
74,37.56492233,55.65787506,1324,261,8442,1797
70,37.60692596,55.68053436,639,298,8236,1463
66,37.58509827,55.69395828,64,276,3585,6040
74,37.57714081,55.66658401,889,127,591,3381
70,37.5973053,55.67939377,364,298,1434,1804
68,37.59026337,55.65928268,949,158,2211,3383
70,37.60161972,55.67639542,753,304,1435,439
85,37.61751938,55.66082764,1113,148,5037,1377
66,37.57870102,55.67876816,741,257,813,10006
66,37.57185745,55.68169785,1295,257,1378,11711
85,37.60877991,55.65465164,555,178,7041,5887
90,37.58211517,55.61841583,1034,758,3828,3938
85,37.60724258,55.65509033,555,178,2656,5887
68,37.60066605,55.64616013,772,302,4383,4598
91,37.61632538,55.60644531,1405,85,3836,1399
85,37.61603546,55.64677048,331,72,9213,1403
85,37.614151,55.64292526,331,75,8378,1762
68,37.58824921,55.66207504,187,158,5024,62
91,37.60695267,55.58572769,1351,771,10700,8963
68,37.60319901,55.65483475,1616,776,9624,12619
68,37.60427856,55.65910339,390,258,3630,3321
66,37.589077,55.69035339,196,276,2696,1481
91,37.61210251,55.6086731,854,85,506,1399
77,37.64459229,55.59729767,1,859,246,1375
85,37.60940552,55.6476059,16,75,6672,763
74,37.56845093,55.65660095,1324,261,5856,11662
89,37.6007576,55.62483597,153,87,1634,4041
85,37.6153717,55.65259171,721,72,9486,6350
70,37.59654236,55.68802643,116,297,1889,1034
68,37.57982635,55.66070557,1282,300,7264,5317
89,37.59227753,55.6403389,1609,701,10405,5585
70,37.59038925,55.68278122,787,298,1758,3445
74,37.56451797,55.66008759,1324,256,8732,12784
89,37.59484482,55.63824844,1609,701,10121,1487
89,37.59404373,55.63925934,1609,701,10121,5585
85,37.61447144,55.66609573,1113,916,2513,447
91,37.60884857,55.59793854,255,738,10750,11981
89,37.60537338,55.62532806,1522,87,1633,12438
85,37.61547852,55.66500854,1113,916,2513,447
85,37.61697006,55.66719437,1113,916,1527,3941
80,37.61085129,55.69382858,115,79,2647,5849
85,37.62023926,55.65644455,1113,148,8647,3992
70,37.59042358,55.67322922,371,306,1098,3367
80,37.60021591,55.6943512,874,79,3909,4076
66,37.59448624,55.69315338,196,276,7405,1461
70,37.59416962,55.68141174,787,298,1759,1804
70,37.59791565,55.68262482,787,298,3588,5776
80,37.60752106,55.69123077,115,79,1503,5308
70,37.587883,55.66723251,783,296,1107,4756
70,37.59514236,55.6819458,787,298,292,8460
90,37.62753677,55.60804367,445,966,7676,4022
80,37.60471725,55.69559097,874,79,4732,5849
66,37.59131622,55.69013977,196,276,2696,1481
74,37.5581665,55.67100143,1020,292,7116,568
85,37.62021255,55.65710831,1113,148,10514,3992
85,37.6165123,55.65545273,1092,148,4138,6737
89,37.59213257,55.63024139,492,78,3889,4113
85,37.61633301,55.6444397,331,72,5881,5311
68,37.57580185,55.64738464,226,299,4384,10228
68,37.60475159,55.64744568,772,301,8779,1803
77,37.65584183,55.57829285,1,665,244,1373
77,37.65723419,55.57749176,1,665,383,1373
74,37.57801819,55.66611862,889,127,591,3381
70,37.60697174,55.68151474,639,298,8236,3335
70,37.59495163,55.6781311,364,298,1433,1804
66,37.56531525,55.67913818,228,290,9017,12653
66,37.57915878,55.68534088,779,293,4670,707
68,37.59659576,55.64529419,772,302,6369,7086
85,37.61116791,55.65042496,555,75,9101,7179
85,37.61460876,55.66290665,1113,916,1524,1377
85,37.60756683,55.64445114,1201,75,6075,763
68,37.60266876,55.65201569,1616,776,8685,1795
91,37.61307144,55.59238434,289,772,6780,8055
66,37.57765198,55.68861389,779,714,10732,6319
70,37.60453796,55.67878723,753,304,6224,1463
70,37.60934448,55.67943192,639,304,5153,3335
68,37.59585953,55.64559937,772,302,6369,7086
68,37.60448456,55.65121078,1616,776,8685,1488
74,37.56061935,55.65513229,201,261,7443,738
80,37.61965561,55.70333862,317,79,3228,2801
85,37.61211014,55.65530014,1092,148,10261,10195
74,37.56880188,55.66802216,1407,292,2793,5352
74,37.57446289,55.66552734,889,292,8748,3381
66,37.57738113,55.68919373,779,714,4841,6319
74,37.55276871,55.66624451,700,256,2580,4836
