dist,x,y
74,37.57037354,55.6590271
66,37.56448364,55.677845
70,37.59435272,55.67157364
70,37.59331894,55.66856003
70,37.59670258,55.68612671
68,37.57806396,55.6467247
68,37.60539246,55.66351318
68,37.60992813,55.66321182
80,37.61795807,55.70376205
91,37.58123779,55.60238647
70,37.60630035,55.67734528
68,37.60437775,55.6486969
70,37.60028076,55.67950439
66,37.58420944,55.68553162
66,37.58218002,55.69338226
70,37.59567261,55.67031097
70,37.59938049,55.67752838
68,37.56957626,55.65192413
80,37.60935211,55.69318771
80,37.61978912,55.69817734
70,37.59392929,55.68491745
80,37.60017014,55.69364548
80,37.61331558,55.69606781
70,37.59766769,55.68860245
66,37.59525681,55.68891907
77,37.64638901,55.58939743
91,37.61089706,55.59485626
66,37.58325577,55.69447327
66,37.57269287,55.68382645
66,37.57894516,55.67660904
85,37.61889267,55.64949036
89,37.6010437,55.63938141
91,37.61207581,55.58956909
90,37.59469223,55.61658096
90,37.60681152,55.62133789
68,37.60029984,55.64675522
68,37.5988884,55.6581459
68,37.59234619,55.65137863
68,37.5778389,55.6574173
85,37.61629868,55.66664124
85,37.60892105,55.65140915
91,37.60688019,55.60135651
68,37.58750534,55.65705872
74,37.5715332,55.65894318
70,37.60162735,55.6805954
66,37.59121704,55.68721771
66,37.58429718,55.69262695
85,37.61061859,55.65136337
70,37.6045723,55.67538834
68,37.59923935,55.64650726
77,37.64836884,55.58673096
74,37.56492233,55.65787506
70,37.60692596,55.68053436
66,37.58509827,55.69395828
74,37.57714081,55.66658401
70,37.5973053,55.67939377
68,37.59026337,55.65928268
70,37.60161972,55.67639542
85,37.61751938,55.66082764
66,37.57870102,55.67876816
66,37.57185745,55.68169785
85,37.60877991,55.65465164
90,37.58211517,55.61841583
85,37.60724258,55.65509033
68,37.60066605,55.64616013
91,37.61632538,55.60644531
85,37.61603546,55.64677048
85,37.614151,55.64292526
68,37.58824921,55.66207504
91,37.60695267,55.58572769
68,37.60319901,55.65483475
68,37.60427856,55.65910339
66,37.589077,55.69035339
91,37.61210251,55.6086731
77,37.64459229,55.59729767
85,37.60940552,55.6476059
74,37.56845093,55.65660095
89,37.6007576,55.62483597
85,37.6153717,55.65259171
70,37.59654236,55.68802643
68,37.57982635,55.66070557
89,37.59227753,55.6403389
70,37.59038925,55.68278122
74,37.56451797,55.66008759
89,37.59484482,55.63824844
89,37.59404373,55.63925934
85,37.61447144,55.66609573
91,37.60884857,55.59793854
89,37.60537338,55.62532806
85,37.61547852,55.66500854
85,37.61697006,55.66719437
80,37.61085129,55.69382858
85,37.62023926,55.65644455
70,37.59042358,55.67322922
80,37.60021591,55.6943512
66,37.59448624,55.69315338
70,37.59416962,55.68141174
70,37.59791565,55.68262482
80,37.60752106,55.69123077
70,37.587883,55.66723251
70,37.59514236,55.6819458
90,37.62753677,55.60804367
80,37.60471725,55.69559097
66,37.59131622,55.69013977
74,37.5581665,55.67100143
85,37.62021255,55.65710831
85,37.6165123,55.65545273
89,37.59213257,55.63024139
85,37.61633301,55.6444397
68,37.57580185,55.64738464
68,37.60475159,55.64744568
77,37.65584183,55.57829285
77,37.65723419,55.57749176
74,37.57801819,55.66611862
70,37.60697174,55.68151474
70,37.59495163,55.6781311
66,37.56531525,55.67913818
66,37.57915878,55.68534088
68,37.59659576,55.64529419
85,37.61116791,55.65042496
85,37.61460876,55.66290665
85,37.60756683,55.64445114
68,37.60266876,55.65201569
91,37.61307144,55.59238434
66,37.57765198,55.68861389
70,37.60453796,55.67878723
70,37.60934448,55.67943192
68,37.59585953,55.64559937
68,37.60448456,55.65121078
74,37.56061935,55.65513229
80,37.61965561,55.70333862
85,37.61211014,55.65530014
74,37.56880188,55.66802216
74,37.57446289,55.66552734
66,37.57738113,55.68919373
74,37.55276871,55.66624451
68,37.57056427,55.65169907
68,37.58404541,55.66126633
68,37.60456467,55.64607239
74,37.56502914,55.67309952
90,37.59950638,55.61897278
89,37.5984726,55.62748337
89,37.60918045,55.63365173
66,37.58466721,55.68578339
68,37.61026001,55.66155624
66,37.57273865,55.68276596
66,37.57736588,55.68382263
90,37.58243179,55.60772705
77,37.65813828,55.57821274
66,37.57344818,55.67976379
77,37.63934708,55.59207916
85,37.60680389,55.64315033
85,37.60719681,55.65388489
85,37.61358261,55.64944077
85,37.60860825,55.64418411
68,37.60042572,55.65955734
66,37.59252548,55.68729019
68,37.60571671,55.66233444
68,37.59775543,55.65838623
70,37.60571671,55.68146896
70,37.59851074,55.6860466
70,37.59841156,55.6873703
85,37.60765457,55.64714813
85,37.61411285,55.64435959
85,37.61705017,55.65491486
68,37.58343506,55.66288757
74,37.57315063,55.66885376
68,37.59327316,55.65703583
68,37.58220673,55.65014648
68,37.60363007,55.65201569
70,37.59497833,55.68294907
74,37.56535339,55.67039871
74,37.57000732,55.67447662
66,37.5766449,55.68100739
74,37.57145309,55.67245865
74,37.5669899,55.65548325
74,37.56647491,55.65404129
68,37.58815384,55.66440964
91,37.62416458,55.60081482
91,37.60632324,55.59577179
74,37.56565857,55.65794754
89,37.59313965,55.63031006
85,37.62026596,55.65859222
89,37.60482407,55.62408447
90,37.59072113,55.61654282
68,37.58719254,55.65593338
85,37.60719681,55.65452957
85,37.60891342,55.64356613
85,37.61478043,55.6424942
70,37.60110474,55.67367172
89,37.60469055,55.62863159
77,37.65633392,55.5766449
85,37.61076355,55.6460495
89,37.59696579,55.63317871
68,37.56828308,55.64925003
68,37.57699585,55.64836884
89,37.61142731,55.62960815
89,37.60793304,55.62416458
89,37.60327911,55.63003159
89,37.59152985,55.62920761
68,37.58261108,55.65208435
68,37.57649994,55.64719391
68,37.58574677,55.66465378
68,37.57096863,55.65488434
85,37.61441803,55.65603638
