7266,6398,5704,5183,4275,3810,2923,2213,1652,1208,957,713,502,401,277,171,164,161,6044,5408,7076,9000,8568,11121,10640,15819,13350,12738,11080,9408,7416,6423,4543,4229,3281,2481,2385,2346,2319,1344,1256,1139,1203,1391,1441,1758,2017,2270,2456,2663,3031,3069,3317,3241,3326,2290,2246,2092,1935,1736,1516,1426,1233,1104,951,432,414,315,304,305,356,326,336,327,324,189,173,184,160,161,145,134,140,135,135,89,92,94,79,103
6398,5960,5432,5162,4026,3594,3010,2279,1760,1376,1022,858,621,488,449,208,193,204,1895,5432,7328,9147,8008,6906,10260,10871,12912,11156,11028,9707,8748,6949,6246,4398,4290,2593,2437,2318,2425,2179,1210,1121,1074,1168,1337,1564,1733,1981,2091,2281,2596,2748,2939,3050,3030,2232,2206,2189,1972,1738,1667,1482,1246,1207,967,438,399,362,372,321,421,380,358,319,305,163,156,169,172,182,130,132,139,134,133,92,78,85,81,80
5704,5432,5276,4924,4088,3505,2888,2468,1925,1597,1262,957,868,635,509,292,250,248,2178,2216,7252,9620,8255,6760,6417,10559,9263,11071,9687,9684,8765,8182,6752,5996,4664,3782,2685,2502,2406,2321,2103,1222,1095,1112,1206,1443,1579,1704,1961,2152,2411,2653,2754,2852,2768,2031,2095,2054,2019,1817,1643,1510,1383,1314,1151,505,436,436,396,334,456,413,357,373,354,153,186,207,177,167,131,139,123,118,140,90,80,100,76,82
5183,5162,4924,4944,3978,3534,2962,2423,2009,1687,1492,1160,980,774,624,372,336,298,2602,2099,2663,9484,8603,6992,6336,6554,8792,7743,9481,8717,9154,8444,7805,6487,6533,4008,3851,2591,2501,2287,2283,2088,1162,1165,1131,1233,1361,1497,1647,1881,2162,2292,2404,2418,2502,1854,1826,2003,1957,1931,1704,1653,1453,1446,1245,529,474,447,405,390,472,432,369,383,328,175,175,175,157,185,112,133,133,129,127,87,78,86,79,78
4275,4026,4089,3978,3942,3515,3092,2447,2133,1829,1626,1413,1191,934,786,531,447,350,3189,2573,2172,2569,8272,7093,6411,6334,5642,7493,6800,8516,7943,8392,7957,7620,6896,6049,4336,3974,2710,2457,2232,2303,2082,1152,1122,1229,1227,1361,1374,1531,1765,1958,2182,2126,2269,1802,1773,1854,1839,1854,1764,1704,1562,1509,1352,565,500,459,392,405,460,477,412,373,404,190,181,169,179,171,144,127,147,138,104,94,76,85,77,100
3810,3594,3505,3534,3515,4042,3300,2944,2498,2195,1963,1680,1495,1225,1109,634,603,541,4626,3022,2279,2178,2395,7026,6973,6916,5739,5125,6913,6511,8606,8046,8605,8414,8885,6956,6705,4643,4361,2905,2563,2395,2435,2380,1242,1302,1269,1280,1311,1463,1608,1834,1922,2038,2252,1590,1777,1789,1856,1860,1811,1880,1706,1717,1488,617,550,606,502,471,588,507,450,408,393,205,185,173,166,169,114,135,134,129,145,73,76,98,92,94
2923,3010,2888,2962,3092,3300,3356,2912,2721,2345,2079,1936,1713,1469,1252,846,811,666,5193,3957,2363,1826,1915,2116,6345,6643,5602,4887,4469,6053,5916,7508,7440,8131,8940,8115,6995,6722,4749,4274,2615,2474,2419,2441,2518,1460,1241,1192,1153,1259,1450,1517,1608,1743,1921,1440,1609,1589,1729,1722,1729,1772,1799,1745,1647,720,648,643,531,498,586,578,509,438,426,223,215,164,170,165,154,121,120,128,118,66,96,68,69,69
2213,2279,2468,2423,2447,2944,2912,2917,2749,2507,2352,2116,1849,1659,1547,971,961,1017,5826,4335,2888,1887,1641,1718,1912,6160,5425,4567,4138,3838,5309,5324,7226,7115,9024,8171,7999,6925,6613,4604,4095,2556,2422,2586,2525,3215,1357,1173,1201,1180,1358,1320,1415,1549,1588,1289,1374,1425,1500,1585,1582,1717,1751,1744,1687,752,697,636,591,491,679,600,544,496,480,214,212,183,193,147,135,141,129,140,109,83,81,90,63,62
1652,1760,1925,2009,2133,2498,2721,2749,2938,2539,2511,2180,2128,1939,1810,1287,1298,1149,6087,4838,3361,2258,1658,1534,1653,2132,4932,4616,4058,3601,3655,4917,4992,6831,7769,8167,8209,8328,7041,6686,4466,3871,2615,2561,2672,3279,2264,1333,1240,1159,1151,1178,1328,1357,1443,1074,1168,1245,1343,1471,1411,1479,1689,1692,1704,783,752,710,644,549,726,680,585,545,453,258,191,200,195,220,141,124,145,135,103,72,65,88,81,69
1208,1376,1597,1687,1829,2195,2345,2507,2539,2738,2628,2501,2321,2172,2083,1404,1471,1467,6029,4880,3815,2636,1938,1571,1422,1831,1931,4129,3871,3551,3298,3385,4716,4878,7114,6785,8029,8205,8022,6947,6259,4148,3871,2795,2718,3354,2533,2501,1352,1223,1107,1080,1142,1097,1263,931,1061,1141,1215,1257,1364,1409,1539,1591,1593,785,705,703,639,617,763,699,632,518,511,263,241,204,191,168,138,133,133,137,119,89,74,80,62,73
