7202,6405,5821,5146,4312,3784,2892,2313,1547,1132,903,674,534,369,337,145,175,144,5995,5424,7096,8969,8400,11235,10782,15718,13356,12401,10943,9433,7377,6470,4489,4266,3216,2497,2344,2331,2225,1335,1138,1144,1169,1362,1431,1826,1947,2178,2443,2664,2954,3108,3131,3217,3321,2199,2248,2042,1871,1766,1473,1302,1227,1119,888,427,374,302,293,328,368,368,354,336,310,197,171,179,199,181,141,132,143,134,147,88,86,93,69,91
6405,44915,35729,53603,4087,3564,2981,2355,1841,1322,1015,795,642,503,436,238,201,167,2078,5555,7533,9378,8561,7254,10761,11362,13361,11468,11413,10340,9118,7196,6642,4930,4851,3077,2745,2790,2679,2651,1631,1707,1579,1612,1712,2047,2131,2272,2600,2710,3151,3250,3249,3390,3293,2466,2347,2315,2186,1927,1600,1546,1430,1304,1220,455,454,420,428,365,463,399,458,407,398,179,179,183,187,187,117,158,141,120,121,80,101,93,68,86
5821,35729,67306,102814,59151,3507,2905,2352,1848,1445,1141,969,782,670,543,302,255,222,2256,2682,7863,10024,9063,7344,7027,10809,9771,11505,10358,10390,9680,8890,7265,6883,5448,4422,3335,3061,3016,2998,2796,1916,1810,1767,1888,2241,2285,2329,2545,2786,3084,3210,3298,3383,3349,2454,2420,2323,2295,2250,1871,1757,1640,1543,1307,597,563,513,469,438,536,450,492,458,391,216,211,208,203,189,129,118,129,141,120,71,68,85,87,76
5147,53603,102815,278102,204913,3659,2907,2456,2051,1720,1351,1107,979,825,637,367,355,279,2977,3203,3869,10654,10231,8151,7683,8146,10338,9308,11150,10100,10989,10024,9547,8057,8427,5833,5749,4180,4107,3994,3981,3583,2830,2651,2673,3114,3020,3176,3355,3491,3780,3571,3770,4133,4043,2923,2777,2730,2685,2717,2294,2037,1954,1861,1777,736,646,662,639,582,719,602,656,554,526,213,204,204,227,197,110,134,112,107,144,79,86,74,62,85
4312,4087,59151,204913,301512,166297,3007,2561,2108,1841,1626,1340,1099,981,854,494,435,381,3643,3757,3220,3836,9799,8288,7531,7978,7158,8888,8056,9901,9672,9887,9932,9315,8869,7904,6008,5566,4187,3936,4038,3593,3559,2603,2700,2972,2713,2885,2882,3125,3416,3205,3442,3633,3632,2675,2489,2680,2623,2690,2346,2243,2121,1859,1846,802,702,679,618,640,778,637,661,546,524,197,233,195,201,196,135,130,113,121,113,92,89,76,65,89
3784,3564,3507,3659,166298,387584,212252,88476,2463,2157,1941,1736,1447,1297,1061,712,644,536,5077,4005,3431,3286,3811,8410,8334,8225,7409,6590,8286,8038,10231,9961,10663,10370,11012,8565,8268,6639,5935,4522,4198,3752,3866,3834,3058,3163,2835,2836,2942,2783,3337,3304,3142,3489,3464,2662,2532,2741,2863,2859,2421,2466,2337,2177,2126,868,802,752,693,639,803,757,746,616,623,221,309,236,208,210,136,137,148,147,130,74,85,77,89,85
2892,2981,2906,2906,3007,212251,429454,246896,98850,2362,2026,1925,1673,1461,1283,817,756,754,5279,4714,3565,3166,3369,3444,7785,8201,7305,6337,6106,7581,7923,9833,9523,10674,11045,9685,8554,8717,6434,6144,4674,3978,4086,4070,4351,3270,2952,2875,3031,2935,3189,3215,3099,3223,3620,2670,2417,2587,2811,2653,2452,2547,2318,2362,2229,1019,900,750,779,683,850,730,727,732,719,237,277,248,212,200,121,135,118,122,141,64,83,77,71,90
2313,2355,2352,2456,2562,88476,246901,302322,222061,109470,2323,2073,1856,1750,1528,1080,1045,975,6041,4625,4234,3164,3174,3103,3621,7861,7193,6225,5777,5414,7290,7150,9061,9390,10963,9930,9907,8745,8422,6289,5774,4083,4185,4204,4317,5217,3157,2770,2956,2808,2877,2886,2924,3058,3251,2491,2269,2446,2709,2606,2321,2336,2283,2329,2182,1050,887,762,812,766,900,891,735,849,703,288,259,275,205,188,124,132,126,142,120,84,75,72,68,77
1547,1841,1847,2051,2108,2463,98848,222054,303173,197893,104186,2327,2125,1936,1765,1242,1257,1228,6065,4808,4534,3443,2956,2752,3295,3894,6432,6004,5472,5220,5386,6659,7035,8660,9400,9492,9920,9912,8462,8386,6014,5443,4231,3954,4258,5219,3912,2711,3062,2770,2618,2636,2749,2790,2982,2241,2006,2053,2169,2278,2029,2038,2121,2213,2066,1017,961,816,835,760,878,873,752,807,695,310,272,267,224,207,107,124,130,124,121,64,89,69,84,67
1132,1322,1445,1719,1841,2157,2362,109463,197901,291473,197809,101886,2345,2192,1988,1384,1510,1444,6071,4706,4985,3679,3303,2762,3183,3298,3487,5565,5295,4937,5176,4894,6697,6673,9202,8429,9657,9833,9668,8571,8167,5631,5408,4196,4354,5060,3989,3934,3231,2765,2583,2558,2483,2634,2660,1881,1849,1958,2166,2099,1861,1919,1949,2042,2082,963,990,856,873,860,992,939,798,768,756,325,285,250,202,212,129,136,130,111,106,88,77,81,71,85
