7198,6297,5829,5170,4199,3771,2943,2247,1634,1180,841,638,506,383,305,162,173,165,6107,5366,7292,9027,8365,11106,10817,15789,13464,12621,10768,9271,7121,6493,4523,4199,3066,2432,2405,2257,2144,1293,1144,1126,1194,1301,1434,1765,1977,2192,2464,2577,3023,3187,3277,3268,3324,2230,2196,2036,1899,1780,1530,1288,1266,1116,911,407,389,369,297,276,398,338,346,333,332,180,193,194,155,157,133,147,147,153,135,87,94,90,100,89
6297,55876,44685,66952,4082,3677,3068,2330,1800,1422,1102,890,706,543,416,218,199,193,2066,5757,7623,9535,8703,7339,10735,11254,13411,11767,11419,10158,9144,7404,6776,4974,4840,3019,3002,2830,2784,2671,1718,1575,1537,1617,1740,2056,2103,2367,2462,2743,3185,3170,3406,3498,3339,2498,2434,2468,2273,2090,1720,1587,1422,1326,1195,456,439,435,401,375,474,443,407,399,354,190,178,176,198,197,131,147,142,132,126,91,93,105,67,84
5829,44686,80846,125504,69270,3588,2897,2362,1898,1525,1240,1000,791,656,581,272,221,218,2292,2690,7559,10052,8969,7355,7015,11333,9846,11787,10280,10633,9753,8854,7201,6961,5362,4573,3236,3144,3184,2936,2877,1798,1823,1800,1769,2262,2127,2346,2761,2738,3051,3187,3283,3344,3495,2561,2595,2456,2454,2400,1966,1784,1613,1540,1262,601,523,496,457,391,555,513,501,463,422,202,198,189,176,168,134,159,141,133,98,85,76,60,96,71
5170,66952,125504,339810,242378,3626,2897,2407,2069,1606,1432,1216,948,809,688,419,310,305,2936,3144,3865,10709,9965,8191,7677,8364,10376,9178,11184,10303,10829,10287,9414,8395,8203,5921,5435,4410,4180,4156,3833,3552,2798,2641,2723,3136,2816,3015,3297,3296,3712,3761,3983,4041,3842,3171,3112,2945,2998,2950,2131,2156,1988,2001,1674,729,696,708,545,502,699,662,572,554,500,201,209,196,209,181,135,130,128,143,135,95,89,83,69,81
4199,4082,69270,242378,363254,216418,3056,2511,2122,1834,1563,1405,1138,963,810,468,423,365,3352,3670,3101,3598,9523,7948,7477,7622,7116,8904,8029,10144,9742,10168,9715,9399,8593,7466,5656,5617,4186,4215,3746,3609,3599,2701,2470,2872,2601,2916,2774,2925,3093,3349,3492,3626,3425,2953,2852,2877,3046,2906,2240,2147,2062,1975,1653,782,753,703,582,502,691,666,576,519,558,210,232,234,177,183,118,131,112,131,123,85,95,87,67,76
3771,3677,3588,3628,216417,510392,282908,117003,2513,2203,1962,1763,1519,1273,1087,666,603,520,4991,4254,3274,3179,3700,8377,8083,8380,7548,6624,8012,8076,10094,9521,10547,10073,11023,8777,8312,6470,5985,4523,4074,3816,3728,3940,2796,3018,2805,2882,2862,2911,3077,3348,3267,3596,3393,2941,2678,2859,2815,3063,2300,2284,2330,2213,1943,864,852,798,730,658,882,673,673,601,584,230,239,250,213,191,138,155,127,139,152,83,82,90,73,87
2943,3068,2898,2897,3056,282908,601068,357478,159369,2289,2090,1891,1676,1384,1296,857,800,730,5391,4992,3755,3037,3408,3623,7851,8312,7333,6308,6050,7510,7606,9671,9898,10056,11068,10141,8568,8215,6316,6249,4561,3988,4005,4193,4435,3503,3080,2865,2907,2917,3042,2975,3045,3307,3279,2896,2762,2680,2867,3081,2221,2231,2305,2330,2034,993,925,785,783,764,962,762,773,716,557,284,252,250,236,167,126,118,148,141,150,85,94,74,85,77
2247,2330,2362,2406,2511,117003,357475,469349,356565,172262,2318,2041,1938,1684,1567,1092,993,966,5908,4759,4266,3146,3249,3147,3323,7694,7238,6193,5593,5382,7354,7127,9023,8856,10795,9990,9754,8567,8335,6647,5675,4197,4099,4193,4455,5270,3192,2921,2720,2913,2827,2796,2943,3024,3043,2640,2797,2602,2689,2762,2084,2269,2180,2382,2099,1041,1018,879,814,741,1002,771,864,676,642,275,280,223,244,183,124,123,113,135,133,88,68,74,76,66
1634,1800,1898,2069,2122,2513,159366,356568,488449,314811,166873,2249,2119,1960,1721,1228,1168,1218,5866,4920,4427,3478,3021,2773,2893,3670,6779,6369,5235,5225,5278,6645,6675,8780,9415,9738,9468,9936,8420,8222,5780,5264,4225,3922,4557,5399,3836,2866,2618,2811,2494,2735,2672,2904,2809,2428,2540,2442,2657,2509,1879,2161,2082,2274,2155,996,1033,862,755,782,1055,852,888,746,660,300,306,203,236,162,121,100,140,104,139,63,74,66,63,69
1180,1422,1525,1606,1835,2203,2289,172260,314802,458599,316944,161718,2318,2051,2017,1447,1407,1404,5856,4857,4983,3725,3375,2668,2602,3380,3488,5490,5198,4849,5030,5181,6273,6504,9009,8602,9401,9742,9493,8560,7742,5236,5278,4102,4221,5219,4001,3997,2714,2838,2570,2428,2474,2595,2474,2167,2293,2119,2434,2267,1816,1957,1909,2205,2062,1025,948,937,866,815,920,891,874,769,690,329,337,254,218,199,121,120,125,102,102,67,80,82,52,77
